Vivado Simulator 2019.2
Time resolution is 1 ps
$time  630ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  640ns: stage=00010000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  650ns: stage=00100000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  660ns: stage=00000001  ,po_money = 0 ,po_cola = 1, po_money_half = 1, po_money_one = 0
$time  670ns: stage=00000010  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  680ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  690ns: stage=00001000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  700ns: stage=00100000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  710ns: stage=00000001  ,po_money = 0 ,po_cola = 1, po_money_half = 1, po_money_one = 0
$time  720ns: stage=00000010  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  730ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  740ns: stage=00001000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  750ns: stage=00100000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  760ns: stage=00000001  ,po_money = 0 ,po_cola = 1, po_money_half = 1, po_money_one = 0
$time  770ns: stage=00000010  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  780ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  790ns: stage=00010000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  800ns: stage=00100000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  810ns: stage=00000001  ,po_money = 0 ,po_cola = 1, po_money_half = 0, po_money_one = 1
$time  820ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  830ns: stage=00001000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  840ns: stage=00010000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  850ns: stage=00100000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  860ns: stage=00000001  ,po_money = 0 ,po_cola = 1, po_money_half = 1, po_money_one = 0
$time  870ns: stage=00000010  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  880ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  890ns: stage=00010000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  900ns: stage=01000000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  910ns: stage=00000001  ,po_money = 1 ,po_cola = 1, po_money_half = 0, po_money_one = 1
$time  920ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  930ns: stage=00001000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  940ns: stage=00010000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  950ns: stage=01000000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  960ns: stage=00000001  ,po_money = 1 ,po_cola = 1, po_money_half = 1, po_money_one = 0
$time  970ns: stage=00000010  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  980ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  990ns: stage=00001000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time 1000ns: stage=00010000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
